symbol,name,sector,description
ADANIPORTS,Adani Ports & SEZ,Infrastructure,India's largest commercial ports operator handling cargo logistics and port infrastructure.
ADANIPOWER,Adani Power,Power,Private thermal power producer supplying electricity across multiple states in India.
APOLLOHOSP,Apollo Hospitals,Pharma,Leading private healthcare provider operating hospitals and medical services nationwide.
AXISBANK,Axis Bank,Banking,Major private sector bank offering retail and corporate banking services.
BAJAJ-AUTO,Bajaj Auto,Auto,Global two-wheeler and three-wheeler manufacturer known for motorcycles and scooters.
BAJAJFINSV,Bajaj Finserv,Banking,Financial services company offering insurance, lending, and wealth management.
BAJFINANCE,Bajaj Finance,Banking,Leading non-banking financial company specializing in consumer lending.
BEL,Bharat Electronics,Electronics,Government-owned defense electronics manufacturer supplying military systems.
BHARTIARTL,Bharti Airtel,Telecom,One of India's largest telecom operators providing mobile and broadband services.
BRITANNIA,Britannia Industries,FMCG,Major food company known for biscuits, dairy products, and packaged foods.
CIPLA,Cipla,Pharma,Pharmaceutical company producing generic medicines and respiratory treatments.
COALINDIA,Coal India,Energy,State-owned coal mining corporation supplying fuel for power generation.
DABUR,Dabur India,FMCG,Consumer goods company known for Ayurvedic products and healthcare items.
DIVISLAB,Divi's Laboratories,Pharma,Manufacturer of active pharmaceutical ingredients and specialty chemicals.
DRREDDY,Dr Reddy's Laboratories,Pharma,Global pharmaceutical company producing generics and specialty drugs.
EICHERMOT,Eicher Motors,Auto,Manufacturer of Royal Enfield motorcycles and commercial vehicles.
GRASIM,Grasim Industries,Cement,Diversified conglomerate producing cement, textiles, and chemicals.
HCLTECH,HCL Technologies,IT,Global IT services and consulting company.
HDFCBANK,HDFC Bank,Banking,India's largest private sector bank by market capitalization.
HDFCLIFE,HDFC Life Insurance,Insurance,Private life insurance provider offering protection and investment products.
HEROMOTOCO,Hero MotoCorp,Auto,World's largest motorcycle manufacturer by volume.
HINDALCO,Hindalco Industries,Metals,Aluminium and copper manufacturing company within Aditya Birla Group.
HINDUNILVR,Hindustan Unilever,FMCG,Leading consumer goods company producing household and personal care brands.
ICICIBANK,ICICI Bank,Banking,Major private bank offering a wide range of financial services.
IDEA,Vodafone Idea,Telecom,Telecommunications operator providing mobile services across India.
INFY,Infosys,IT,Global IT consulting and outsourcing company headquartered in India.
IOC,Indian Oil Corporation,Energy,State-owned oil refining and fuel distribution company.
ITC,ITC Limited,FMCG,Diversified conglomerate with businesses in FMCG, hotels, and agriculture.
JSWSTEEL,JSW Steel,Metals,Large steel manufacturing company supplying infrastructure and industrial sectors.
KOTAKBANK,Kotak Mahindra Bank,Banking,Private sector bank offering retail and corporate banking solutions.
M&M,Mahindra & Mahindra,Auto,Manufacturer of SUVs, tractors, and commercial vehicles.
MARUTI,Maruti Suzuki,Auto,India's largest passenger car manufacturer.
NESTLEIND,Nestlé India,FMCG,Food company producing packaged foods, beverages, and dairy products.
NTPC,NTPC Limited,Power,India's largest power generation company.
ONGC,Oil and Natural Gas Corporation,Energy,State-owned oil exploration and production company.
PIDILITIND,Pidilite Industries,Chemicals,Producer of adhesives and specialty chemicals including Fevicol brand.
POWERGRID,Power Grid Corporation,Power,National electricity transmission utility managing high-voltage networks.
RELIANCE,Reliance Industries,Energy,Conglomerate operating in petrochemicals, oil refining, retail, and telecom.
SBILIFE,SBI Life Insurance,Insurance,Life insurance company promoted by State Bank of India.
SBIN,State Bank of India,Banking,India's largest public sector bank.
SHREECEM,Shree Cement,Cement,Major cement manufacturer supplying construction materials.
SUNPHARMA,Sun Pharmaceutical,Pharma,India's largest pharmaceutical company by revenue.
TATASTEEL,Tata Steel,Metals,Global steel producer supplying automotive and construction industries.
TCS,Tata Consultancy Services,IT,India's largest IT services company and global outsourcing leader.
TECHM,Tech Mahindra,IT,IT services firm specializing in telecom solutions and digital transformation.
ULTRACEMCO,UltraTech Cement,Cement,India's largest cement manufacturer.
UPL,UPL Limited,Chemicals,Agricultural chemicals company producing crop protection solutions.
WIPRO,Wipro,IT,Global IT consulting and business process services company.
LT,Larsen & Toubro,Infrastructure,Indian multinational engineering and construction company specializing in infrastructure, technology and industrial projects.
